customer_id,avg_monthly_credits,salary_consistency,cash_withdrawal_ratio,monthly_transaction_count
CUS101945,69500,0.934,0.167,20
CUS101946,102900,0.88,0.179,17
CUS101947,67200,1.0,0.051,18
CUS101948,59100,0.944,0.166,20
CUS101949,156700,0.903,0.037,13
CUS101950,103200,0.864,0.209,13
CUS101951,38200,0.911,0.141,12
CUS101952,73000,0.809,0.012,20
CUS101953,109700,0.984,0.129,18
CUS101954,101900,0.895,0.199,19
CUS101955,110500,0.903,0.108,13
CUS101956,105700,1.0,0.116,23
CUS101957,79700,1.0,0.185,16
CUS101958,82400,0.834,0.221,18
CUS101959,134300,1.0,0.241,25
CUS101960,101300,0.915,0.051,15
CUS101961,102400,0.966,0.059,12
CUS101962,94300,0.796,0.022,16
CUS101963,57600,0.987,0.151,27
CUS101964,79000,0.87,0.084,17
CUS101965,135100,0.799,0.231,19
CUS101966,130900,0.804,0.083,20
CUS101967,59700,0.967,0.145,17
CUS101968,95000,0.907,0.009,19
CUS101969,120500,0.688,0.081,21
CUS101970,114200,0.884,0.249,15
CUS101971,89200,0.811,0.04,17
CUS101972,53000,0.808,0.262,19
CUS101973,51000,0.972,0.035,13
CUS101974,115300,0.855,0.102,18
CUS101975,189600,0.942,0.046,19
CUS101976,42000,0.812,0.117,17
CUS101977,81300,0.94,0.339,20
CUS101978,122100,0.856,0.271,23
CUS101979,32800,0.853,0.075,21
CUS101980,57600,0.956,0.107,16
CUS101981,87600,0.965,0.089,17
CUS101982,60400,0.831,0.052,17
CUS101983,105900,0.925,0.032,12
CUS101984,185100,0.768,0.083,15
CUS101985,59500,0.939,0.098,17
CUS101986,98600,0.851,0.183,15
CUS101987,75100,0.969,0.062,16
CUS101988,89300,0.901,0.041,16
CUS101989,98000,0.99,0.024,24
CUS101990,298100,0.859,0.149,14
CUS101991,190900,0.932,0.165,13
CUS101992,42400,0.816,0.055,14
CUS101993,57600,0.852,0.201,21
CUS101994,70400,0.997,0.061,23
CUS101995,58100,0.905,0.023,22
CUS101996,49000,0.934,0.201,15
CUS101997,81700,0.934,0.046,14
CUS101998,59300,0.868,0.253,12
CUS101999,62500,1.0,0.156,18
CUS102000,212000,1.0,0.148,17
CUS102001,62000,0.789,0.004,15
CUS102002,73000,0.871,0.02,17
CUS102003,107100,0.765,0.143,19
CUS102004,70100,0.88,0.466,16
CUS102005,47200,0.857,0.035,21
CUS102006,70500,1.0,0.266,17
CUS102007,210400,0.85,0.168,17
CUS102008,71500,0.903,0.017,24
CUS102009,58900,0.99,0.077,20
CUS102010,107800,0.996,0.086,14
CUS102011,77100,0.947,0.171,22
CUS102012,274200,0.957,0.371,26
CUS102013,59000,1.0,0.294,24
CUS102014,179800,0.944,0.083,18
CUS102015,146800,0.848,0.158,10
CUS102016,77800,1.0,0.143,17
CUS102017,97300,1.0,0.163,25
CUS102018,53000,0.865,0.27,14
CUS102019,69600,0.857,0.003,14
CUS102020,84700,0.939,0.064,19
CUS102021,96700,0.943,0.082,24
CUS102022,48500,0.865,0.111,20
CUS102023,93300,0.946,0.129,22
CUS102024,77000,0.96,0.497,18
CUS102025,103300,0.867,0.088,10
CUS102026,122700,0.891,0.338,18
CUS102027,73700,0.971,0.132,24
CUS102028,120300,0.825,0.105,15
CUS102029,85800,0.9,0.035,9
CUS102030,113600,0.805,0.304,18
CUS102031,97200,0.8,0.175,16
CUS102032,78600,1.0,0.195,13
CUS102033,85200,0.871,0.254,17
CUS102034,181500,0.946,0.111,14
CUS102035,78300,0.923,0.147,22
CUS102036,48100,0.864,0.18,28
CUS102037,73900,0.819,0.101,23
CUS102038,66900,1.0,0.091,26
CUS102039,77500,0.918,0.265,16
CUS102040,83000,0.704,0.169,19
CUS102041,53300,1.0,0.131,16
CUS102042,84900,0.846,0.179,14
CUS102043,72800,0.987,0.116,15
CUS102044,138600,0.996,0.187,17
CUS102045,54600,0.869,0.112,27
CUS102046,82900,0.91,0.228,19
CUS102047,62000,0.846,0.009,17
CUS102048,199900,0.899,0.266,14
CUS102049,146600,0.915,0.187,21
CUS102050,37000,0.956,0.028,13
CUS102051,57700,0.872,0.074,15
CUS102052,128400,0.915,0.276,17
CUS102053,109500,0.979,0.079,20
CUS102054,106900,0.792,0.147,16
CUS102055,94700,0.989,0.012,15
CUS102056,121800,0.999,0.189,14
CUS102057,132600,0.881,0.147,17
CUS102058,74600,0.913,0.04,15
CUS102059,49500,0.783,0.049,21
CUS102060,39600,1.0,0.172,13
CUS102061,82700,0.982,0.185,18
CUS102062,36800,0.828,0.293,20
CUS102063,97100,0.803,0.014,19
CUS102064,76700,0.969,0.096,22
CUS102065,223700,0.876,0.15,13
CUS102066,94200,0.881,0.06,14
CUS102067,84100,0.957,0.058,17
CUS102068,44100,1.0,0.272,16
CUS102069,51000,0.959,0.056,24
CUS102070,111100,0.847,0.143,18
CUS102071,76600,0.843,0.159,20
CUS102072,238100,0.908,0.124,15
CUS102073,92000,0.992,0.153,19
CUS102074,91600,0.944,0.277,24
CUS102075,45200,0.936,0.015,9
CUS102076,141000,0.954,0.088,27
CUS102077,55100,0.952,0.157,20
CUS102078,103700,0.852,0.08,17
CUS102079,111300,0.932,0.06,17
CUS102080,92400,1.0,0.077,15
CUS102081,206800,0.832,0.042,14
CUS102082,69300,0.904,0.178,22
CUS102083,171400,0.817,0.15,17
CUS102084,40300,0.997,0.384,16
CUS102085,123700,0.921,0.126,15
CUS102086,80800,0.829,0.117,25
CUS102087,68400,0.877,0.031,12
CUS102088,42300,0.953,0.099,17
CUS102089,71800,0.911,0.023,18
CUS102090,74600,0.844,0.272,21
CUS102091,90700,0.971,0.224,22
CUS102092,128200,0.94,0.078,16
CUS102093,64600,0.992,0.288,19
CUS102094,177100,1.0,0.09,23
CUS102095,68500,0.727,0.057,7
CUS102096,105800,0.756,0.115,19
CUS102097,80300,0.862,0.071,18
CUS102098,84900,0.875,0.224,20
CUS102099,99600,0.953,0.124,14
CUS102100,59000,0.817,0.124,19
CUS102101,80300,1.0,0.018,18
CUS102102,44700,0.93,0.149,17
CUS102103,69600,0.763,0.365,16
CUS102104,54300,0.909,0.083,9
CUS102105,115500,0.9,0.01,14
CUS102106,80500,0.887,0.182,18
CUS102107,63700,0.965,0.049,18
CUS102108,99200,1.0,0.127,19
CUS102109,101400,0.819,0.293,21
CUS102110,59600,0.967,0.2,19
CUS102111,101000,0.917,0.265,17
CUS102112,77000,0.885,0.167,18
CUS102113,62300,0.856,0.366,17
CUS102114,72700,0.92,0.064,20
CUS102115,132400,0.988,0.101,12
CUS102116,57800,0.885,0.166,9
CUS102117,85600,0.964,0.6,14
CUS102118,46900,0.913,0.059,19
CUS102119,150100,0.862,0.135,12
CUS102120,68200,0.819,0.12,21
CUS102121,111900,0.94,0.004,18
CUS102122,90000,0.906,0.218,23
CUS102123,112500,0.879,0.143,19
CUS102124,110200,0.862,0.131,20
CUS102125,80200,0.95,0.032,15
CUS102126,41800,0.888,0.089,16
CUS102127,131600,0.963,0.147,14
CUS102128,74800,1.0,0.035,14
CUS102129,98500,0.988,0.039,18
CUS102130,128700,0.991,0.23,16
CUS102131,75700,0.828,0.219,20
CUS102132,92900,0.806,0.147,17
CUS102133,61600,0.902,0.395,20
CUS102134,104900,0.955,0.002,16
CUS102135,79400,0.887,0.243,19
CUS102136,65300,0.846,0.022,22
CUS102137,87600,0.949,0.185,24
CUS102138,53900,1.0,0.169,24
CUS102139,94800,0.652,0.073,15
CUS102140,97400,0.964,0.055,11
CUS102141,93800,1.0,0.055,27
CUS102142,175900,0.889,0.208,19
CUS102143,84900,0.755,0.234,26
CUS102144,89100,0.911,0.232,19
CUS102145,50000,0.94,0.283,17
CUS102146,172100,0.87,0.182,18
CUS102147,44700,0.906,0.118,14
CUS102148,87300,1.0,0.152,12
CUS102149,64800,0.951,0.059,26
CUS102150,85500,0.826,0.034,21
CUS102151,46800,1.0,0.073,14
CUS102152,123900,0.875,0.086,29
CUS102153,59100,1.0,0.265,16
CUS102154,132100,0.815,0.187,23
CUS102155,49600,0.981,0.381,20
CUS102156,142900,0.873,0.213,19
CUS102157,63300,0.991,0.047,22
CUS102158,65700,0.816,0.295,9
CUS102159,96000,0.958,0.07,13
CUS102160,67100,0.965,0.197,16
CUS102161,52800,0.86,0.081,12
CUS102162,67000,0.843,0.31,23
CUS102163,97000,0.772,0.349,18
CUS102164,92500,0.788,0.046,28
CUS102165,89900,0.978,0.012,25
CUS102166,77700,0.762,0.169,15
CUS102167,95400,0.801,0.164,25
CUS102168,125300,0.929,0.054,23
CUS102169,111000,0.783,0.026,15
CUS102170,80800,0.956,0.047,15
CUS102171,52000,0.989,0.189,18
CUS102172,34400,1.0,0.09,18
CUS102173,100400,0.956,0.028,17
CUS102174,37900,0.812,0.017,19
CUS102175,86500,0.912,0.054,18
CUS102176,160600,0.931,0.054,33
CUS102177,49000,1.0,0.014,10
CUS102178,54400,1.0,0.158,14
CUS102179,110200,1.0,0.216,18
CUS102180,28200,0.813,0.595,17
CUS102181,116900,0.823,0.129,21
CUS102182,176400,0.952,0.244,19
CUS102183,59500,0.868,0.252,20
CUS102184,51300,0.87,0.167,16
CUS102185,112400,0.948,0.352,15
CUS102186,48800,0.741,0.242,19
CUS102187,121400,0.806,0.116,14
CUS102188,58900,0.928,0.159,20
CUS102189,166900,0.956,0.028,19
CUS102190,117800,0.934,0.119,14
CUS102191,88100,0.851,0.098,20
CUS102192,194700,1.0,0.249,15
CUS102193,137900,0.85,0.102,15
CUS102194,105300,0.94,0.079,15
CUS102195,43700,0.811,0.148,16
CUS102196,66900,0.931,0.119,20
CUS102197,139700,0.914,0.115,12
CUS102198,54200,0.941,0.122,15
CUS102199,58600,0.881,0.191,14
CUS102200,51100,0.986,0.101,14
CUS102201,120200,0.971,0.24,23
CUS102202,135000,0.94,0.028,18
CUS102203,138000,0.849,0.022,19
CUS102204,59100,0.865,0.104,13
CUS102205,105900,0.949,0.247,18
CUS102206,56400,0.744,0.11,16
CUS102207,80800,0.983,0.098,15
CUS102208,109400,0.977,0.084,20
CUS102209,148400,1.0,0.122,22
CUS102210,28100,0.964,0.086,14
CUS102211,94300,0.893,0.235,11
CUS102212,175600,0.921,0.036,18
CUS102213,99800,0.799,0.173,21
CUS102214,86000,0.969,0.04,10
CUS102215,69900,0.815,0.12,15
CUS102216,166000,0.807,0.025,20
CUS102217,66900,0.915,0.06,10
CUS102218,90400,0.818,0.028,19
CUS102219,66900,1.0,0.153,18
CUS102220,93200,0.984,0.027,14
CUS102221,134500,0.819,0.067,16
CUS102222,63600,0.792,0.194,12
CUS102223,87900,0.834,0.053,17
CUS102224,92700,0.932,0.007,21
CUS102225,67400,0.703,0.208,19
CUS102226,90900,0.884,0.153,20
CUS102227,191700,1.0,0.102,23
CUS102228,38600,1.0,0.078,23
CUS102229,66600,1.0,0.098,13
CUS102230,100100,0.839,0.03,20
CUS102231,77000,0.937,0.232,15
CUS102232,355200,0.994,0.213,17
CUS102233,133000,0.904,0.134,17
CUS102234,52000,0.853,0.014,16
CUS102235,30300,0.76,0.017,23
CUS102236,102300,1.0,0.036,20
CUS102237,52700,0.859,0.057,17
CUS102238,162800,0.881,0.026,14
CUS102239,76500,0.962,0.132,18
CUS102240,65600,0.853,0.286,23
CUS102241,63300,0.998,0.211,23
CUS102242,128000,0.991,0.055,23
CUS102243,107700,0.897,0.116,19
CUS102244,190100,1.0,0.169,19
CUS102245,90400,0.894,0.013,18
CUS102246,116300,0.939,0.338,18
CUS102247,122400,0.825,0.054,11
CUS102248,138200,0.937,0.324,14
CUS102249,71500,0.855,0.221,13
CUS102250,105500,0.94,0.211,21
CUS102251,77800,0.831,0.083,15
CUS102252,92600,0.942,0.476,24
CUS102253,58400,0.962,0.108,18
CUS102254,32700,0.762,0.276,26
CUS102255,144700,0.781,0.114,16
CUS102256,93800,0.876,0.059,20
CUS102257,48700,0.855,0.093,19
CUS102258,105300,1.0,0.341,23
CUS102259,147000,0.774,0.071,15
CUS102260,119000,0.888,0.35,15
CUS102261,60900,0.898,0.184,21
CUS102262,45900,0.871,0.076,16
CUS102263,66700,0.859,0.128,13
CUS102264,120900,0.836,0.102,24
CUS102265,114200,0.863,0.171,18
CUS102266,304400,0.789,0.39,16
CUS102267,39800,0.912,0.225,13
CUS102268,83800,0.96,0.209,22
CUS102269,36400,0.99,0.033,20
CUS102270,115200,1.0,0.077,16
CUS102271,142600,0.88,0.071,20
CUS102272,161100,0.817,0.117,16
CUS102273,89800,0.942,0.053,24
CUS102274,38200,1.0,0.113,20
CUS102275,77300,0.96,0.286,19
CUS102276,104500,0.95,0.01,17
CUS102277,49500,0.845,0.009,19
CUS102278,84400,0.887,0.003,23
CUS102279,48400,0.983,0.133,20
CUS102280,64500,1.0,0.059,23
CUS102281,143200,0.913,0.148,16
CUS102282,123100,0.914,0.076,25
CUS102283,44300,0.992,0.353,19
CUS102284,67000,0.981,0.175,18
CUS102285,95200,0.997,0.096,16
CUS102286,96000,0.887,0.16,18
CUS102287,71000,1.0,0.057,13
CUS102288,123100,0.95,0.116,19
CUS102289,79300,1.0,0.271,24
CUS102290,31100,0.768,0.031,21
CUS102291,69800,0.909,0.107,22
CUS102292,72700,1.0,0.074,19
CUS102293,112600,0.907,0.083,29
CUS102294,131200,0.915,0.229,16
CUS102295,37700,0.907,0.083,19
CUS102296,101500,0.912,0.149,16
CUS102297,92700,0.887,0.046,20
CUS102298,96000,0.792,0.109,20
CUS102299,72900,0.986,0.226,17
CUS102300,82500,0.946,0.183,20
CUS102301,139300,0.989,0.034,16
CUS102302,89200,0.954,0.115,19
CUS102303,84800,0.845,0.13,18
CUS102304,67900,1.0,0.071,18
CUS102305,110200,0.854,0.393,19
CUS102306,48200,1.0,0.12,16
CUS102307,62100,0.907,0.249,16
CUS102308,36300,0.924,0.157,16
CUS102309,98100,0.905,0.014,20
CUS102310,157100,0.935,0.037,14
CUS102311,71200,1.0,0.215,20
CUS102312,60200,0.893,0.033,16
CUS102313,183800,0.956,0.125,11
CUS102314,101200,0.87,0.016,20
CUS102315,87500,0.939,0.082,10
CUS102316,74800,0.99,0.327,17
CUS102317,118000,0.935,0.117,17
CUS102318,95000,0.757,0.148,19
CUS102319,68600,0.888,0.079,19
CUS102320,78000,1.0,0.019,17
CUS102321,55700,0.956,0.028,19
CUS102322,47100,0.922,0.106,19
CUS102323,73800,1.0,0.135,18
CUS102324,143600,1.0,0.002,16
CUS102325,49000,1.0,0.08,19
CUS102326,119800,1.0,0.004,16
CUS102327,66800,0.97,0.216,25
CUS102328,36900,0.957,0.044,15
CUS102329,115500,0.899,0.084,9
CUS102330,196500,0.969,0.085,27
CUS102331,57100,0.934,0.142,12
CUS102332,42600,0.909,0.266,22
CUS102333,106500,0.891,0.014,17
CUS102334,65000,1.0,0.196,23
CUS102335,120300,0.968,0.034,22
CUS102336,147300,0.792,0.228,17
CUS102337,104000,1.0,0.096,13
CUS102338,120600,0.787,0.147,12
CUS102339,120300,0.964,0.077,20
CUS102340,115900,0.922,0.116,14
CUS102341,74900,0.843,0.111,16
CUS102342,128000,0.868,0.079,15
CUS102343,101600,0.912,0.201,15
CUS102344,107900,0.753,0.143,19
CUS102345,321400,0.775,0.06,20
CUS102346,104500,0.814,0.074,14
CUS102347,41100,1.0,0.314,19
CUS102348,83500,1.0,0.044,24
CUS102349,78500,1.0,0.028,15
CUS102350,74300,0.809,0.015,16
CUS102351,130100,0.861,0.037,22
CUS102352,129000,0.788,0.028,14
CUS102353,92400,0.959,0.173,17
CUS102354,46200,0.943,0.048,17
CUS102355,93100,0.937,0.046,18
CUS102356,66800,0.796,0.153,19
CUS102357,90400,0.985,0.083,20
CUS102358,86400,0.913,0.142,20
CUS102359,156000,0.944,0.087,14
CUS102360,101300,0.966,0.235,21
CUS102361,61300,0.959,0.144,20
CUS102362,54900,0.926,0.177,18
CUS102363,82900,0.949,0.319,16
CUS102364,96500,0.97,0.031,11
CUS102365,80000,0.869,0.158,21
CUS102366,130200,0.957,0.053,22
CUS102367,46400,0.933,0.047,21
CUS102368,65800,1.0,0.205,20
CUS102369,101300,0.979,0.086,11
CUS102370,74000,1.0,0.216,20
CUS102371,80200,0.859,0.036,16
CUS102372,83400,0.959,0.145,13
CUS102373,108100,0.869,0.093,18
CUS102374,83800,0.998,0.064,21
CUS102375,36600,1.0,0.139,19
CUS102376,70700,0.845,0.184,14
CUS102377,99700,0.867,0.107,22
CUS102378,112800,0.973,0.056,23
CUS102379,132400,0.754,0.054,11
CUS102380,137700,0.842,0.054,21
CUS102381,75700,1.0,0.137,25
CUS102382,93000,0.806,0.293,13
CUS102383,50300,0.986,0.089,22
CUS102384,34700,0.986,0.096,17
CUS102385,50100,0.93,0.163,26
CUS102386,58500,0.941,0.328,15
CUS102387,50800,0.982,0.245,11
CUS102388,72000,0.851,0.312,16
CUS102389,82900,0.92,0.314,19
CUS102390,122900,0.833,0.141,21
CUS102391,52100,0.935,0.053,24
CUS102392,90400,0.907,0.248,22
CUS102393,76800,0.89,0.064,14
CUS102394,53500,0.978,0.035,17
CUS102395,59300,1.0,0.246,15
CUS102396,30900,0.966,0.072,14
CUS102397,115800,0.875,0.111,15
CUS102398,161400,0.903,0.118,20
CUS102399,72000,1.0,0.147,20
CUS102400,87800,1.0,0.037,16
CUS102401,78500,0.922,0.097,21
CUS102402,70100,1.0,0.147,13
CUS102403,119600,0.918,0.015,15
CUS102404,90400,0.796,0.018,16
CUS102405,33800,0.862,0.047,17
CUS102406,63500,0.928,0.37,22
CUS102407,33400,0.983,0.055,20
CUS102408,177000,0.991,0.333,20
CUS102409,74000,0.782,0.216,23
CUS102410,94100,0.934,0.1,9
CUS102411,65800,0.969,0.096,20
CUS102412,129000,0.886,0.36,15
CUS102413,120900,0.907,0.013,16
CUS102414,76900,0.798,0.041,15
CUS102415,204600,0.926,0.156,20
CUS102416,84800,0.94,0.186,18
CUS102417,47100,1.0,0.255,11
CUS102418,88100,0.912,0.114,26
CUS102419,113700,0.858,0.195,16
CUS102420,89900,1.0,0.074,28
CUS102421,75600,0.927,0.369,20
CUS102422,181900,0.925,0.404,14
CUS102423,55300,1.0,0.091,17
CUS102424,29000,0.897,0.177,17
CUS102425,157700,0.867,0.075,19
CUS102426,43500,0.987,0.097,11
CUS102427,72600,0.897,0.166,21
CUS102428,71500,0.97,0.038,21
CUS102429,154600,0.995,0.31,19
CUS102430,149600,0.857,0.085,14
CUS102431,43200,0.862,0.273,18
CUS102432,166400,0.928,0.045,19
CUS102433,176700,0.942,0.011,23
CUS102434,96600,0.822,0.068,23
CUS102435,120600,1.0,0.033,18
CUS102436,130100,0.815,0.174,15
CUS102437,73500,1.0,0.215,21
CUS102438,94200,0.917,0.148,18
CUS102439,104100,0.858,0.079,20
CUS102440,45900,0.944,0.202,13
CUS102441,71400,0.997,0.252,25
CUS102442,57900,0.812,0.069,22
CUS102443,173600,0.978,0.108,19
CUS102444,74000,1.0,0.1,20
CUS102445,98400,0.772,0.091,18
CUS102446,90000,0.99,0.392,17
CUS102447,74200,0.87,0.034,16
CUS102448,86400,0.941,0.218,20
CUS102449,63900,1.0,0.089,17
CUS102450,81000,0.762,0.079,16
CUS102451,70100,0.98,0.071,19
CUS102452,88100,1.0,0.119,16
CUS102453,123200,0.939,0.117,11
CUS102454,72100,0.916,0.3,12
CUS102455,148900,0.788,0.008,18
CUS102456,121900,1.0,0.022,18
CUS102457,50300,0.788,0.034,19
CUS102458,106400,0.863,0.139,22
CUS102459,60300,0.984,0.025,19
CUS102460,93700,0.805,0.23,15
CUS102461,65800,0.87,0.077,14
CUS102462,28700,0.899,0.074,25
CUS102463,83400,1.0,0.162,19
CUS102464,44200,0.78,0.244,20
CUS102465,109500,0.987,0.161,20
CUS102466,89300,0.969,0.009,13
CUS102467,65800,0.869,0.014,22
CUS102468,210000,0.951,0.137,22
CUS102469,46800,0.796,0.228,18
CUS102470,70300,1.0,0.1,25
CUS102471,50100,0.782,0.062,15
CUS102472,207500,1.0,0.068,22
CUS102473,161600,0.936,0.229,19
CUS102474,46300,0.928,0.08,17
CUS102475,60000,0.87,0.124,22
CUS102476,66600,0.976,0.051,14
CUS102477,72100,0.97,0.094,19
CUS102478,62900,0.855,0.32,20
CUS102479,53400,1.0,0.345,18
CUS102480,122600,0.874,0.49,15
CUS102481,201200,0.882,0.063,17
CUS102482,36200,0.971,0.251,18
CUS102483,55800,0.9,0.292,14
CUS102484,94600,1.0,0.234,7
CUS102485,42700,0.97,0.109,9
CUS102486,111300,0.999,0.01,23
CUS102487,125000,0.977,0.063,10
CUS102488,98900,1.0,0.074,19
CUS102489,119300,0.959,0.102,18
CUS102490,67100,1.0,0.076,26
CUS102491,80000,0.751,0.363,19
CUS102492,47100,0.897,0.051,20
CUS102493,99000,0.956,0.242,12
CUS102494,192700,1.0,0.012,13
CUS102495,112600,0.972,0.022,18
CUS102496,62400,1.0,0.092,15
CUS102497,154800,0.879,0.083,15
CUS102498,236500,1.0,0.354,13
CUS102499,97900,0.996,0.202,15
CUS102500,112200,0.863,0.116,14
CUS102501,109700,1.0,0.074,19
CUS102502,39700,0.822,0.084,21
CUS102503,75000,1.0,0.073,22
CUS102504,63900,0.951,0.013,18
CUS102505,137600,0.827,0.075,24
CUS102506,112400,1.0,0.324,20
CUS102507,100600,0.942,0.127,22
CUS102508,69600,1.0,0.053,18
CUS102509,43700,0.925,0.031,18
CUS102510,87400,0.997,0.169,19
CUS102511,46900,0.87,0.106,16
CUS102512,52900,0.801,0.273,18
CUS102513,144700,0.803,0.072,21
CUS102514,123100,0.962,0.03,13
CUS102515,72700,1.0,0.153,16
CUS102516,47400,1.0,0.164,16
CUS102517,62200,0.977,0.035,19
CUS102518,145200,0.9,0.079,14
CUS102519,109600,0.9,0.187,15
CUS102520,77000,0.948,0.189,13
CUS102521,95800,0.872,0.134,12
CUS102522,36500,0.904,0.008,16
CUS102523,29100,0.969,0.322,19
CUS102524,210000,1.0,0.015,20
CUS102525,107600,0.961,0.138,18
CUS102526,95800,0.831,0.286,19
CUS102527,76900,0.935,0.31,22
CUS102528,39400,0.922,0.026,15
CUS102529,144600,0.927,0.308,10
CUS102530,56500,0.844,0.022,21
CUS102531,112700,0.83,0.073,22
CUS102532,90900,0.937,0.028,24
CUS102533,88600,0.921,0.177,23
CUS102534,40700,0.834,0.082,19
CUS102535,50000,0.88,0.167,17
CUS102536,98800,0.996,0.015,11
CUS102537,85400,0.74,0.115,22
CUS102538,85600,0.842,0.095,16
CUS102539,95400,0.912,0.252,18
CUS102540,39700,0.918,0.02,12
CUS102541,155500,0.925,0.191,11
CUS102542,82000,1.0,0.037,12
CUS102543,127700,1.0,0.112,12
CUS102544,35700,0.797,0.184,15
CUS102545,105400,0.951,0.071,18
CUS102546,114600,1.0,0.137,26
CUS102547,38800,0.763,0.04,20
CUS102548,68700,0.864,0.127,18
CUS102549,56600,1.0,0.103,18
CUS102550,124300,0.992,0.038,13
CUS102551,105300,0.941,0.283,16
CUS102552,195500,0.962,0.058,26
CUS102553,96600,0.891,0.28,15
CUS102554,125500,0.951,0.103,21
CUS102555,149400,0.948,0.032,13
CUS102556,131200,0.987,0.247,17
CUS102557,75600,0.901,0.049,14
CUS102558,61800,1.0,0.098,21
CUS102559,79800,0.863,0.022,20
CUS102560,124100,0.952,0.247,15
CUS102561,55000,0.853,0.28,18
CUS102562,113400,0.87,0.116,18
CUS102563,105700,0.986,0.233,10
CUS102564,41000,0.852,0.041,19
CUS102565,115500,0.987,0.068,15
CUS102566,105400,0.89,0.192,17
CUS102567,71300,1.0,0.213,12
CUS102568,86900,0.833,0.012,22
CUS102569,70900,0.932,0.159,17
CUS102570,83700,0.887,0.088,15
CUS102571,86100,0.917,0.118,14
CUS102572,45200,0.953,0.26,17
CUS102573,77100,0.761,0.06,20
CUS102574,69100,0.917,0.202,15
CUS102575,108900,0.905,0.201,18
CUS102576,142100,0.769,0.155,18
CUS102577,64300,0.906,0.257,19
CUS102578,61800,0.846,0.164,16
CUS102579,38600,0.829,0.174,16
CUS102580,50900,0.914,0.369,15
CUS102581,63300,0.97,0.099,25
CUS102582,48700,0.915,0.087,28
CUS102583,131000,0.886,0.06,20
CUS102584,98200,1.0,0.076,14
CUS102585,71900,0.87,0.098,20
CUS102586,82100,0.728,0.046,21
CUS102587,113600,1.0,0.125,15
CUS102588,114300,0.943,0.023,20
CUS102589,100400,0.898,0.072,21
CUS102590,79400,0.864,0.032,14
CUS102591,81200,0.96,0.217,28
CUS102592,81800,0.897,0.019,20
CUS102593,80100,0.914,0.173,17
CUS102594,135500,0.942,0.078,15
CUS102595,162200,0.78,0.224,22
CUS102596,96400,0.882,0.188,14
CUS102597,51400,0.879,0.291,21
CUS102598,111100,0.926,0.029,13
CUS102599,104500,0.943,0.035,15
CUS102600,57100,0.924,0.267,18
CUS102601,114900,0.92,0.244,17
CUS102602,69200,0.931,0.038,19
CUS102603,138300,1.0,0.061,28
CUS102604,116200,0.998,0.234,26
CUS102605,97200,0.954,0.052,3
CUS102606,90200,1.0,0.114,16
CUS102607,36200,1.0,0.144,17
CUS102608,54000,0.899,0.223,18
CUS102609,68500,0.99,0.048,26
CUS102610,176400,0.894,0.086,19
CUS102611,99200,0.993,0.118,25
CUS102612,206000,0.977,0.026,27
CUS102613,80700,0.831,0.018,25
CUS102614,82900,0.981,0.111,14
CUS102615,155300,0.824,0.003,16
CUS102616,91100,0.975,0.321,27
CUS102617,49100,0.927,0.022,18
CUS102618,99300,0.887,0.02,16
CUS102619,126400,1.0,0.11,32
CUS102620,62700,0.895,0.279,25
CUS102621,111300,0.96,0.337,20
CUS102622,78700,1.0,0.051,13
CUS102623,108800,0.898,0.065,7
CUS102624,100200,1.0,0.301,17
CUS102625,75300,0.83,0.161,14
CUS102626,91200,1.0,0.24,17
CUS102627,78400,1.0,0.088,14
CUS102628,88200,0.846,0.221,19
CUS102629,61300,0.802,0.093,24
CUS102630,67600,0.833,0.127,21
CUS102631,76600,0.899,0.426,17
CUS102632,109200,0.883,0.043,18
CUS102633,51100,0.917,0.05,17
CUS102634,80900,0.894,0.052,19
CUS102635,67900,0.83,0.205,17
CUS102636,73300,0.837,0.13,19
CUS102637,67800,0.898,0.099,14
CUS102638,88900,0.778,0.366,19
CUS102639,75500,0.902,0.05,16
CUS102640,131900,0.848,0.322,11
CUS102641,115700,0.84,0.12,24
CUS102642,46400,0.881,0.041,11
CUS102643,57600,0.849,0.099,15
CUS102644,77400,0.973,0.192,22
CUS102645,91400,0.974,0.124,24
CUS102646,62000,0.808,0.299,15
CUS102647,156000,0.922,0.016,19
CUS102648,125200,0.764,0.238,17
CUS102649,39100,0.913,0.02,18
CUS102650,104700,0.911,0.08,17
CUS102651,80900,0.865,0.037,20
CUS102652,151200,0.819,0.189,20
CUS102653,43800,0.931,0.208,15
CUS102654,230900,0.87,0.429,16
CUS102655,50700,0.964,0.321,20
CUS102656,105500,0.924,0.163,19
CUS102657,66400,0.921,0.233,22
CUS102658,74400,0.843,0.306,17
CUS102659,42100,0.91,0.279,11
CUS102660,137200,0.953,0.039,19
CUS102661,74800,0.958,0.24,23
CUS102662,81400,0.925,0.118,17
CUS102663,225600,0.823,0.046,26
CUS102664,128200,0.834,0.203,21
CUS102665,75100,1.0,0.19,15
CUS102666,66800,0.924,0.151,26
CUS102667,93000,0.805,0.103,20
CUS102668,124200,0.884,0.39,15
CUS102669,187800,1.0,0.16,20
CUS102670,43000,0.707,0.267,19
CUS102671,119400,0.912,0.104,14
CUS102672,125600,0.885,0.12,21
CUS102673,62100,1.0,0.205,14
CUS102674,64700,0.845,0.083,17
CUS102675,35200,1.0,0.002,20
CUS102676,70900,0.842,0.114,18
CUS102677,90000,0.906,0.048,22
CUS102678,155200,0.833,0.068,13
